Jeux de données,Colonne,Description
Compar:IA conversations,id,Identifiant unique pour chaque entrée dans le jeu de données
Compar:IA conversations,timestamp,Horodatage de la conversation
Compar:IA conversations,model_a_name,Nom du premier modèle
Compar:IA conversations,model_b_name,Nom du second modèle
Compar:IA conversations,conversation_a,Structure complète de la conversation avec le premier modèle
Compar:IA conversations,conversation_b,Structure complète de la conversation avec le second modèle
Compar:IA conversations,conv_turns,Nombre de tours d'échange dans la conversation
Compar:IA conversations,conversation_pair_id,Identifiant unique pour la paire de conversations
Compar:IA conversations,conv_a_id,Identifiant unique pour la conversation avec le premier modèle
Compar:IA conversations,conv_b_id,Identifiant unique pour la conversation avec le second modèle
Compar:IA conversations,session_hash,Identifiant de session utilisateur
Compar:IA conversations,visitor_id,Identifiant anonymisé unique pour l'utilisateur
Compar:IA conversations,country,Pays - vide pour l'instant
Compar:IA conversations,city,Ville - vide pour l'instant
Compar:IA conversations,model_pair_name,Représentation sous forme d'ensemble des deux modèles comparés
Compar:IA conversations,opening_msg,Premier message envoyé par l'utilisateur
Compar:IA conversations,system_prompt_a,Prompt système pour le modèle A
Compar:IA conversations,system_prompt_b,Prompt système pour le modèle B
Compar:IA conversations,selected_category,Catégorie de suggestion de prompt choisie par l'utilisateur (si il a choisi une suggestion de prompt)
Compar:IA conversations,is_unedited_prompt,Indique si le prompt suggéré a été utilisé tel quel
Compar:IA conversations,mode,Indique le mode sélectionné
Compar:IA conversations,custom_models_selection,"Si l'utilisateur a choisi des modèles manuellement, quels modèles ont été choisis"
Compar:IA conversations,short_summary,Résumé succinct du contenu de la conversation
Compar:IA conversations,keywords,Liste de mots-clés qui résument le contenu
Compar:IA conversations,categories,Catégories thématiques de chaque conversation
Compar:IA conversations,languages,Liste des langues détectées dans la conversation
Compar:IA conversations,total_conv_a_output_tokens,Indique le nombre de tokens de sortie générées par le modèle A tout au long de la conversation
Compar:IA conversations,total_conv_b_output_tokens,Indique le nombre de tokens de sortie générées par le modèle B tout au long de la conversation
Compar:IA conversations,model_a_total_params,Indique la taille estimée ou connue du modèle A
Compar:IA conversations,model_a_acitve_params,Indique le nombre de paramètres actifs estimée ou connue du modèle A
Compar:IA conversations,model_b_total_params,Indique la taille estimée ou connue du modèle B
Compar:IA conversations,model_b_acitve_params,Indique le nombre de paramètres actifs estimée ou connue du modèle B
Compar:IA conversations,total_conv_a_kwh,Indique l'estimation de la quantité de kwh d'electricité consommée par le modèle A
Compar:IA conversations,total_conv_b_kwh,Indique l'estimation de la quantité de kwh d'electricité consommée par le modèle B
Compar:IA votes,id,Identifiant unique pour chaque entrée dans le jeu de données
Compar:IA votes,timestamp,Horodatage de la conversation
Compar:IA votes,model_a_name,Nom du premier modèle
Compar:IA votes,model_b_name,Nom du second modèle
Compar:IA votes,model_pair_name,Représentation sous forme d'ensemble des deux modèles comparés
Compar:IA votes,chosen_model_name,Nom du modèle pour lequel l'utilisateur a voté
Compar:IA votes,opening_msg,Premier message envoyé par l'utilisateur
Compar:IA votes,both_equal,Indique si l'utilisateur a jugé que les deux modèles se valaient
Compar:IA votes,conversation_a,Structure complète de la conversation avec le premier modèle
Compar:IA votes,conversation_b,Structure complète de la conversation avec le second modèle
Compar:IA votes,conv_turns,Nombre de tours d'échange dans la conversation
Compar:IA votes,template,-
Compar:IA votes,selected_category,Catégorie de suggestion de prompt choisie par l'utilisateur (s'il a choisi une suggestion de prompt)
Compar:IA votes,is_unedited_prompt,Indique si le prompt suggéré a été utilisé tel quel
Compar:IA votes,conversation_pair_id,Identifiant unique pour la paire de conversations
Compar:IA votes,session_hash,Identifiant de session utilisateur
Compar:IA votes,visitor_id,Identifiant anonymisé unique pour l'utilisateur
Compar:IA votes,conv_comments_a,Commentaires sur la conversation avec le premier modèle
Compar:IA votes,conv_comments_b,Commentaires sur la conversation avec le second modèle
Compar:IA votes,conv_useful_a,Indique si la conversation avec le premier modèle a été jugée utile
Compar:IA votes,conv_useful_b,Indique si la conversation avec le second modèle a été jugée utile
Compar:IA votes,conv_creative_a,Indique si la réponse du premier modèle a été jugée créative
Compar:IA votes,conv_creative_b,Indique si la réponse du second modèle a été jugée créative
Compar:IA votes,conv_clear_formatting_a,Indique si la mise en forme du premier modèle était claire
Compar:IA votes,conv_clear_formatting_b,Indique si la mise en forme du second modèle était claire
Compar:IA votes,conv_incorrect_a,Indique si la réponse du premier modèle contenait des informations incorrectes
Compar:IA votes,conv_incorrect_b,Indique si la réponse du second modèle contenait des informations incorrectes
Compar:IA votes,conv_superficial_a,Indique si la réponse du premier modèle a été jugée superficielle
Compar:IA votes,conv_superficial_b,Indique si la réponse du second modèle a été jugée superficielle
Compar:IA votes,conv_instructions_not_followed_a,Indique si le premier modèle n'a pas suivi les instructions
Compar:IA votes,conv_instructions_not_followed_b,Indique si le second modèle n'a pas suivi les instructions
Compar:IA votes,archived,-
Compar:IA votes,system_prompt_b,Instruction système fournie au second modèle
Compar:IA votes,system_prompt_a,Instruction système fournie au premier modèle
Compar:IA votes,conv_complete_a,-
Compar:IA votes,conv_complete_b,-
comparia-reactions,id,Identifiant unique pour chaque entrée dans le jeu de données
comparia-reactions,timestamp,Horodatage de la réaction
comparia-reactions,model_a_name,Nom du premier modèle
comparia-reactions,model_b_name,Nom du second modèle
comparia-reactions,refers_to_model,Modèle auquel la réaction fait référence
comparia-reactions,msg_index,Index du message dans la conversation
comparia-reactions,opening_msg,Premier message envoyé par l'utilisateur
comparia-reactions,conversation_a,Structure complète de la conversation avec le premier modèle
comparia-reactions,conversation_b,Structure complète de la conversation avec le second modèle
comparia-reactions,model_pos,Position du modèle dans l'interface (A ou B)
comparia-reactions,conv_turns,Nombre de tours d'échange dans la conversation
